Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/DM4HypeGuy/status/1799678741498741108,English,323,6,"2024-06-08 22:43:00","Express thoughts","text, picture",2,45,5907
https://x.com/Renew5636/status/1799672402491912324,Korean,15,1,"2024-06-08 22:18:00","Express thoughts","text, picture",0,5,1174
https://x.com/Renew5636/status/1799668735017652482,Korean,70,4,"2024-06-08 22:03:00","Express thoughts","text, picture",2,51,7725
https://x.com/DM4HypeGuy/status/1799647616118202683,English,145,2,"2024-06-08 20:40:00",Announcement,"text, video",1,34,2910
https://x.com/moviere09350416/status/1799638701339017593,English,5,0,"2024-06-08 20:04:00","Express thoughts","text, picture",0,1,411
https://x.com/DM4HypeGuy/status/1799630837954248943,English,87,0,"2024-06-08 19:33:00","Express thoughts","text, picture",0,14,1667
https://x.com/Minions_Fanboy/status/1799626489555784185,English,53,1,"2024-06-08 19:16:00","Express thoughts","text, picture",0,8,2137
https://x.com/DM4HypeGuy/status/1799620853195513937,English,151,4,"2024-06-08 18:53:00","Express thoughts","text, picture",1,29,3584
https://x.com/Minions_Fanboy/status/1799586118632899030,English,84,6,"2024-06-08 16:35:00","Express thoughts","text, GIF image",1,9,4069
https://x.com/rei30782/status/1799579630090805597,English,0,0,"2024-06-08 16:09:00","Express thoughts","text, picture",0,0,138
https://x.com/DEREMATEXD/status/1799577647032172549,Spanish,1,0,"2024-06-08 16:02:00","Express thoughts","text, picture",0,0,156
https://x.com/DM4HypeGuy/status/1799570433697812799,English,117,3,"2024-06-08 15:33:00","No text","text, picture",0,24,2027
https://x.com/M0VI3MAN37/status/1799548935100366938,English,33,2,"2024-06-08 14:07:00",Announcement,"text, picture",0,10,1324
https://x.com/DM4HypeGuy/status/1799515557546590343,English,215,3,"2024-06-08 11:55:00","Express thoughts","text, video, picture",1,37,4053
https://x.com/DM4HypeGuy/status/1799505333918060605,English,105,0,"2024-06-08 11:14:00","No text","text, video",1,20,2593
https://x.com/Minions_Fanboy/status/1799504304186814712,English,127,5,"2024-06-08 11:10:00","No text","text, picture",1,25,5697
https://x.com/EveryUpdates_/status/1799487213107056902,English,5,0,"2024-06-08 10:02:00","Express thoughts","text, picture",0,1,313
https://x.com/RoGameNews/status/1799481055390650739,English,20,1,"2024-06-08 09:38:00",Announcement,"text, video",0,4,2202
https://x.com/CapitanAlex29/status/1799478529521836181,Spanish,2,0,"2024-06-08 09:28:00",Announcement,"text, picture",0,0,186
https://x.com/EveryUpdates_/status/1799469825615687985,English,2,0,"2024-06-08 08:53:00","Express thoughts","text, video",0,0,188
https://x.com/DM4HypeGuy/status/1799463015823343676,English,85,1,"2024-06-08 08:26:00","Express thoughts","text, picture",0,19,1976
https://x.com/DM4HypeGuy/status/1799461063895007568,English,31,0,"2024-06-08 08:18:00",Announcement,"text, picture",0,5,1069
https://x.com/DM4HypeGuy/status/1799459318296977460,English,170,1,"2024-06-08 08:11:00",Announcement,"text, picture",0,28,2923
https://x.com/DM4HypeGuy/status/1799455070905684127,English,42,2,"2024-06-08 07:54:00","No text","text, picture",0,5,1156
https://x.com/DM4HypeGuy/status/1799452762712981963,English,107,0,"2024-06-08 07:45:00","Express thoughts","text, picture",1,21,2447
https://x.com/MovieReviewsBlg/status/1799427943758008406,English,32,0,"2024-06-08 06:07:00","Express thoughts","text, picture",0,2,1065
https://x.com/TGVCinemas/status/1799380902482477198,English,7,0,"2024-06-08 03:00:00",Question,"text, picture",0,3,1326
https://x.com/JK_00WasHereX_X/status/1799379632548118810,English,1,0,"2024-06-08 02:55:00","No text","text, picture",0,1,325
https://x.com/seawaveph/status/1799365750790168930,English,1,0,"2024-06-08 02:00:00","Announcement, question","text, picture",0,0,80
https://x.com/Afro_Period/status/1799356597778727172,Japanese,0,0,"2024-06-08 01:23:00","Express thoughts","text, video",0,0,187
https://x.com/jbridge4th/status/1799301546326536264,English,5,0,"2024-06-07 21:44:00","Express thoughts","text, GIF image",0,1,456
https://x.com/DM4HypeGuy/status/1799296003604177248,English,41,2,"2024-06-07 21:22:00","No text","text, picture",0,7,1416
https://x.com/heartthewebz/status/1799290951141319052,English,57,1,"2024-06-07 21:02:00","Express thoughts","text, picture",0,16,820
https://x.com/DM4HypeGuy/status/1799286763460206646,English,13,0,"2024-06-07 20:46:00","Express thoughts","text, picture",0,1,1254
https://x.com/oxo_YUNG/status/1799275174845686194,Korean,3,0,"2024-06-07 20:00:00",Announcement,"text, video",0,3,718
https://x.com/Playazeelog/status/1799272381514727604,English,1,0,"2024-06-07 19:48:00","Express thoughts","text, picture",0,1,339
https://x.com/grucyloverr/status/1799269688968376542,English,29,0,"2024-06-07 19:38:00","Express thoughts","text, picture",0,5,538
https://x.com/Minions_Fanboy/status/1799252272548892694,English,215,8,"2024-06-07 18:29:00",Fanmade,"text, video",1,53,5887
https://x.com/DM4HypeGuy/status/1799249357335839179,English,385,6,"2024-06-07 18:17:00",Announcement,"text, video",4,57,11300
https://x.com/onerdcall/status/1799245112125579770,Portuguese,0,0,"2024-06-07 18:00:00",Announcement,"text, pictures",0,0,98
https://x.com/DM4HypeGuy/status/1799244680993062948,English,79,1,"2024-06-07 17:58:00","Express thoughts","text, video",1,12,1723
https://x.com/ThePopMax/status/1799237610293920037,English,2,0,"2024-06-07 17:30:00",Announcement,"text, video",0,0,181
https://x.com/xAboutFilm/status/1799229252833099826,English,2,0,"2024-06-07 16:57:00","Express thoughts","text, picture",0,0,137
https://x.com/DM4HypeGuy/status/1799227421209817169,English,171,3,"2024-06-07 16:50:00","Express thoughts","text, picture",0,23,3513
https://x.com/MovieCrazyP/status/1799220783459532982,Spanish,1,0,"2024-06-07 16:23:00",Announcement,"text, picture",0,0,158
https://x.com/DM4HypeGuy/status/1799218594053783789,English,74,3,"2024-06-07 16:15:00","No text","text, video",0,10,1908
https://x.com/cinemabravoph/status/1799216639503999022,English,3,0,"2024-06-07 16:07:00",Announcement,"text, picture",0,0,602
https://x.com/DM4HypeGuy/status/1799213866918039895,English,242,3,"2024-06-07 15:56:00",Announcement,"text, video",0,48,3629
https://x.com/DM4HypeGuy/status/1799179606865420352,English,43,5,"2024-06-07 13:40:00",Announcement,"text, picture",0,5,1901
https://x.com/GeekVibesNews/status/1799178273966186692,English,0,0,"2024-06-07 13:35:00",Announcement,"text, video",0,0,468
https://x.com/DM4HypeGuy/status/1799177645629874340,English,287,6,"2024-06-07 13:32:00",Announcement,"text, video",0,64,5364
https://x.com/grucyloverr/status/1799174428577640591,English,13,0,"2024-06-07 13:19:00","Express thoughts","text, picture",0,1,410
https://x.com/DM4HypeGuy/status/1799165295623606418,English,138,2,"2024-06-07 12:43:00","Express thoughts","text, picture",0,18,3180
https://x.com/DM4HypeGuy/status/1799164490635776473,English,23,3,"2024-06-07 12:40:00",Announcement,"text, picture",3,46,8964
https://x.com/Minions_Fanboy/status/1799160298169074113,English,241,3,"2024-06-07 12:23:00","Express thoughts","text, picture",0,40,5595
https://x.com/Pinkberry/status/1799124224830755300,English,6,0,"2024-06-07 10:00:00",Announcement,"text, picture",0,4,467
https://x.com/grucyloverr/status/1799118956436791616,English,14,1,"2024-06-07 09:39:00","Express thoughts","text, picture",0,1,480
https://x.com/DM4HypeGuy/status/1799114478740754704,English,98,5,"2024-06-07 09:21:00","No text","text, picture",0,17,2686
https://x.com/DM4HypeGuy/status/1799112829855019092,English,22,0,"2024-06-07 09:14:00","Express thoughts","text, picture",0,3,1148
https://x.com/DM4HypeGuy/status/1799109692213620985,English,15,2,"2024-06-07 09:02:00","Express thoughts","text, picture",0,2,1415
https://x.com/DM4HypeGuy/status/1799108823686455633,English,149,1,"2024-06-07 08:59:00","Express thoughts","text, picture",1,23,4556
https://x.com/DM4HypeGuy/status/1799107363729031641,English,25,1,"2024-06-07 08:53:00",Announcement,"text, GIF image",1,4,1178
https://x.com/Pinkberry/status/1799100296678760534,English,12,0,"2024-06-07 08:25:00",Announcement,"text, picture",0,2,1274
https://x.com/Minions_Fanboy/status/1799090023352209557,English,25,8,"2024-06-07 07:44:00",Question,"text, poll",1,10,7168
https://x.com/DM4HypeGuy/status/1799084976971071513,English,27,1,"2024-06-07 07:24:00",Announcement,"text, picture",0,7,1111
